disease_id,name,category,symptoms,severity,specialist,diet_to_eat,diet_to_avoid,workout,medicine_name,medicine_desc,base_dosage_mg,safe_tip,dangerous_myth
1,Typhoid,Infectious,"fatigue, nausea, stomach pain",9,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
2,Bronchitis,Respiratory,"fever, itching, stomach pain",2,General Physician,Boiled vegetables,Deep-fried pakoras,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
3,Typhoid,Infectious,"fatigue, headache, nausea",2,General Physician,Moong Dal Khichdi,Excessive caffeine,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
4,Acne,Skin,"body ache, fever, itching",10,Specialist Doctor,Boiled vegetables,Spicy street food,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
5,Dehydration,General,"cough, fatigue, stomach pain",8,Specialist Doctor,Papaya,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Putting oil or ghee on open wounds.
6,Common Cold,Infectious,"body ache, fever, stomach pain",10,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
7,Vitamin D Deficiency,General,"body ache, fever, vomiting",5,General Physician,Papaya,Raw salads (if infectious),Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
8,Dehydration,General,"body ache, headache, stomach pain",8,Specialist Doctor,Moong Dal Khichdi,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Rubbing heavy salt on rashes.
9,Acidity,Gastrointestinal,"cough, fever, itching",5,General Physician,Curd rice,Spicy street food,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,250,Jeera water for digestion.,Rubbing heavy salt on rashes.
10,Allergic Rhinitis,Respiratory,"cough, fatigue, headache",7,Specialist Doctor,Curd rice,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
11,Influenza,Infectious,"body ache, fever, itching",5,General Physician,Boiled vegetables,Excessive caffeine,Complete Bed Rest,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
12,Common Cold,Infectious,"body ache, itching, nausea",10,Specialist Doctor,Pomegranate,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting oil or ghee on open wounds.
13,Diarrhea,Gastrointestinal,"fatigue, itching, stomach pain",5,General Physician,Pomegranate,Deep-fried pakoras,Complete Bed Rest,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
14,Vitamin D Deficiency,General,"body ache, fatigue, vomiting",10,Specialist Doctor,Papaya,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
15,Eczema,Skin,"fatigue, headache, vomiting",9,Specialist Doctor,Curd rice,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Rubbing heavy salt on rashes.
16,Typhoid,Infectious,"cough, fever, nausea",4,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Jeera water for digestion.,Putting oil or ghee on open wounds.
17,Vitamin D Deficiency,General,"cough, fatigue, fever",10,Specialist Doctor,Moong Dal Khichdi,Cold drinks,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
18,Gastritis,Gastrointestinal,"nausea, stomach pain, vomiting",7,Specialist Doctor,Papaya,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
19,Acne,Skin,"fever, headache, vomiting",2,General Physician,Boiled vegetables,Deep-fried pakoras,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Warm turmeric milk (Haldi Doodh) for immunity.,Putting onions in armpits to reduce fever.
20,Eczema,Skin,"fever, headache, stomach pain",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
21,Food Poisoning,Gastrointestinal,"body ache, stomach pain, vomiting",5,General Physician,Pomegranate,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,500,Warm turmeric milk (Haldi Doodh) for immunity.,Using battery acid for skin patches.
22,Acidity,Gastrointestinal,"cough, fever, vomiting",5,General Physician,Papaya,Excessive caffeine,Light stretching,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Coconut water for rehydration.,Using battery acid for skin patches.
23,Sinusitis,Respiratory,"fatigue, itching, stomach pain",10,Specialist Doctor,Moong Dal Khichdi,Spicy street food,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
24,Anemia,General,"itching, stomach pain, vomiting",10,Specialist Doctor,Curd rice,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
25,Sinusitis,Respiratory,"nausea, stomach pain, vomiting",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
26,Eczema,Skin,"fatigue, headache, stomach pain",2,General Physician,Pomegranate,Spicy street food,Yoga (Pranayama),Omeprazole,Standard OTC Omeprazole for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
27,Bronchitis,Respiratory,"body ache, nausea, stomach pain",5,General Physician,Curd rice,Cold drinks,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
