name,category,symptoms,severity,diet_to_eat,diet_to_avoid,medicine_name,safe_tip,dangerous_myth,base_dosage_mg
Typhoid,Medical,"Abdominal pain, Coated tongue, Rose spots on chest",7,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Abdominal pain, Coated tongue, High fever",9,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"High fever, Rose spots on chest, Abdominal pain",6,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Coated tongue, High fever, Rose spots on chest, Abdominal pain",5,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"High fever, Abdominal pain, Coated tongue, Rose spots on chest",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, Coated tongue, High fever, Abdominal pain",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"Abdominal pain, Rose spots on chest, High fever, Coated tongue",4,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Coated tongue, High fever, Abdominal pain, Rose spots on chest",4,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Coated tongue, Abdominal pain, High fever",9,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Abdominal pain, High fever, Rose spots on chest",8,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Coated tongue, Abdominal pain, Rose spots on chest",4,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Abdominal pain, High fever, Coated tongue, Rose spots on chest",6,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Coated tongue, High fever, Abdominal pain, Rose spots on chest",6,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Coated tongue, Abdominal pain, Rose spots on chest",7,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Abdominal pain, Coated tongue, High fever",7,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, Abdominal pain, High fever, Coated tongue",8,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"High fever, Rose spots on chest, Coated tongue",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"High fever, Abdominal pain, Rose spots on chest",9,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"High fever, Coated tongue, Rose spots on chest, Abdominal pain",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"High fever, Abdominal pain, Rose spots on chest",5,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, High fever, Abdominal pain, Coated tongue",7,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, High fever, Abdominal pain, Coated tongue",5,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"Coated tongue, Abdominal pain, Rose spots on chest, High fever",4,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"Coated tongue, Rose spots on chest, Abdominal pain",4,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,650
Typhoid,Medical,"Coated tongue, Rose spots on chest, Abdominal pain",8,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"High fever, Abdominal pain, Coated tongue, Rose spots on chest",7,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Rose spots on chest, Abdominal pain, Coated tongue",5,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Abdominal pain, High fever, Rose spots on chest, Coated tongue",9,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"High fever, Rose spots on chest, Abdominal pain, Coated tongue",5,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"High fever, Abdominal pain, Coated tongue, Rose spots on chest",7,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"High fever, Coated tongue, Rose spots on chest",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, Coated tongue, Abdominal pain, High fever",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"Coated tongue, High fever, Abdominal pain, Rose spots on chest",6,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"High fever, Abdominal pain, Rose spots on chest, Coated tongue",9,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, Abdominal pain, Coated tongue, High fever",6,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"High fever, Coated tongue, Rose spots on chest, Abdominal pain",9,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Typhoid,Medical,"High fever, Coated tongue, Rose spots on chest",8,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,500
Typhoid,Medical,"Rose spots on chest, Coated tongue, Abdominal pain",3,"Boiled vegetables, Porridge (Dalia), Moong dal khichdi","Raw salads, Spicy food, Unfiltered water",Antibiotics (Prescription required),Always drink boiled or filtered water.,Myth: Starve a fever. Fact: You need nutrition to fight the infection.,250
Jaundice,Medical,"Yellow eyes, Pale colored stools, Yellowing of skin, Dark yellow urine",6,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,250
Jaundice,Medical,"Yellow eyes, Yellowing of skin, Pale colored stools",9,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,650
Jaundice,Medical,"Dark yellow urine, Yellowing of skin, Nausea, Pale colored stools",3,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,500
Jaundice,Medical,"Yellow eyes, Nausea, Dark yellow urine, Pale colored stools",7,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,250
Jaundice,Medical,"Nausea, Yellowing of skin, Yellow eyes, Dark yellow urine",6,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,250
Jaundice,Medical,"Dark yellow urine, Nausea, Yellowing of skin, Yellow eyes",7,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,250
Jaundice,Medical,"Yellowing of skin, Dark yellow urine, Nausea",4,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,250
Jaundice,Medical,"Yellowing of skin, Nausea, Pale colored stools",9,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,650
Jaundice,Medical,"Nausea, Dark yellow urine, Pale colored stools, Yellowing of skin",5,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,500
Jaundice,Medical,"Dark yellow urine, Yellowing of skin, Pale colored stools, Nausea",8,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,500
Jaundice,Medical,"Nausea, Pale colored stools, Dark yellow urine",8,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,650
Jaundice,Medical,"Nausea, Yellowing of skin, Dark yellow urine",7,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,250
Jaundice,Medical,"Nausea, Yellowing of skin, Pale colored stools",7,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,500
Jaundice,Medical,"Nausea, Dark yellow urine, Yellowing of skin",6,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,500
Jaundice,Medical,"Yellowing of skin, Pale colored stools, Yellow eyes",7,"Sugarcane juice, Radish leaves, Papaya, Plenty of water","Alcohol, Fried oily foods, Heavy spices, Junk food",Liver supplements (Under medical advice),Rest completely and avoid strenuous physical activity to recover the liver.,Myth: Turmeric makes jaundice worse. Fact: Turmeric in food is generally safe and anti-inflammatory.,500
