disease_id,name,category,symptoms,severity,specialist,diet_to_eat,diet_to_avoid,workout,medicine_name,medicine_desc,base_dosage_mg,safe_tip,dangerous_myth
1,Typhoid (Variant 1),Infectious,"Stomach pain, Fatigue, Nausea",9,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
2,Bronchitis (Variant 2),Respiratory,"Itching, Fever, Stomach pain",2,General Physician,Boiled vegetables,Deep-fried pakoras,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
3,Typhoid (Variant 3),Infectious,"Headache, Nausea, Fatigue",2,General Physician,Moong Dal Khichdi,Excessive caffeine,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
4,Acne (Variant 4),Skin,"Itching, Body ache, Fever",10,Specialist Doctor,Boiled vegetables,Spicy street food,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
5,Dehydration (Variant 5),General,"Fatigue, Stomach pain, Cough",8,Specialist Doctor,Papaya,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Putting oil or ghee on open wounds.
6,Common Cold (Variant 6),Infectious,"Fever, Stomach pain, Body ache",10,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
7,Vitamin D Deficiency (Variant 7),General,"Fever, Body ache, Vomiting",5,General Physician,Papaya,Raw salads (if infectious),Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
8,Dehydration (Variant 8),General,"Headache, Body ache, Stomach pain",8,Specialist Doctor,Moong Dal Khichdi,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Rubbing heavy salt on rashes.
9,Acidity (Variant 9),Gastrointestinal,"Fever, Itching, Cough",5,General Physician,Curd rice,Spicy street food,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,250,Jeera water for digestion.,Rubbing heavy salt on rashes.
10,Allergic Rhinitis (Variant 10),Respiratory,"Cough, Fatigue, Headache",7,Specialist Doctor,Curd rice,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
11,Influenza (Variant 11),Infectious,"Body ache, Itching, Fever",5,General Physician,Boiled vegetables,Excessive caffeine,Complete Bed Rest,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
