disease_id,name,category,symptoms,severity,specialist,diet_to_eat,diet_to_avoid,workout,medicine_name,medicine_desc,base_dosage_mg,safe_tip,dangerous_myth
1,Typhoid,Infectious,"Coated tongue, High fever, Rose spots",9,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
2,Bronchitis,Respiratory,"Shortness of breath, Chest congestion, Persistent cough, Wheezing",2,General Physician,Boiled vegetables,Deep-fried pakoras,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
3,Typhoid,Infectious,"High fever, Stomach pain, Coated tongue, Rose spots",2,General Physician,Moong Dal Khichdi,Excessive caffeine,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
4,Acne,Skin,"Pimples, Red bumps, Blackheads",10,Specialist Doctor,Boiled vegetables,Spicy street food,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
5,Dehydration,General,"Extreme thirst, Dizziness, Dark urine",8,Specialist Doctor,Papaya,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Putting oil or ghee on open wounds.
6,Common Cold,Infectious,"Runny nose, Mild fever, Sore throat",10,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
7,Vitamin D Deficiency,General,"Muscle weakness, Hair loss, Mood changes, Bone pain",5,General Physician,Papaya,Raw salads (if infectious),Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
8,Dehydration,General,"Dry mouth, Dizziness, Extreme thirst, Dark urine",8,Specialist Doctor,Moong Dal Khichdi,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Rubbing heavy salt on rashes.
9,Acidity,Gastrointestinal,"Bloating, Burning sensation in chest, Heartburn",5,General Physician,Curd rice,Spicy street food,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,250,Jeera water for digestion.,Rubbing heavy salt on rashes.
10,Allergic Rhinitis,Respiratory,"Watery eyes, Constant sneezing, Puffy eyelids, Itchy nose",7,Specialist Doctor,Curd rice,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
